Date;Produit;CA;Marge
20220101;LL1100;38148;11814
20220101;LL1200;82500;26400
20220101;LV1620;148500;46035
20220101;SL1000;118800;38016
20220101;F120;135300;43296
20220101;R080;28050;8415
20220101;GP700;16170;5016
20220101;C470;99000;34650
20220101;RC3000p;39600;11484
20220101;C260;82500;22275
20220201;LL1100;39666;8712
20220201;LL1200;42306;10164
20220201;LV1620;41712;9174
20220201;SL1000;42240;10560
20220201;F120;40425;9306
20220201;R080;44880;10329
20220201;GP700;44616;8019
20220201;C470;42306;8877
20220201;RC3000p;43560;9570
20220201;C260;43890;8778
20220301;LL1100;32340;6468
20220301;LL1200;32043;7689
20220301;LV1620;31515;6303
20220301;SL1000;32076;7062
20220301;F120;29898;6270
20220301;R080;30657;7359
20220301;GP700;30393;5478
20220301;C470;31548;6633
20220301;RC3000p;31251;7194
20220301;C260;31713;6336
20220401;LL1100;31152;7161
20220401;LL1200;28479;5412
20220401;LV1620;29667;7128
20220401;SL1000;29634;5346
20220401;F120;32604;7491
20220401;R080;30096;7524
20220401;GP700;26433;5808
20220401;C470;31647;7590
20220401;RC3000p;32505;6831
20220401;C260;26433;5808
20220501;LL1100;28677;6600
20220501;LL1200;30954;7755
20220501;LV1620;32538;7821
20220501;SL1000;30360;6072
20220501;F120;31614;6633
20220501;R080;28347;5379
20220501;GP700;27027;5676
20220501;C470;28413;7095
20220501;RC3000p;29700;5940
20220501;C260;29403;6468
20220601;LL1100;44484;10230
20220601;LL1200;36795;6996
20220601;LV1620;37323;8943
20220601;SL1000;33198;7623
20220601;F120;29469;6468
20220601;R080;37356;6732
20220601;GP700;35277;7392
20220601;C470;29304;7326
20220601;RC3000p;39765;9537
20220601;C260;35508;7458
20220701;LL1100;51051;11748
20220701;LL1200;52404;11517
20220701;LV1620;51150;9735
20220701;SL1000;51942;11418
20220701;F120;53559;13398
20220701;R080;58707;13497
20220701;GP700;52041;11979
20220701;C470;51282;12309
20220701;RC3000p;53460;9636
20220701;C260;55374;10527
20220801;LL1100;42009;7557
20220801;LL1200;47520;11880
20220801;LV1620;42273;9735
20220801;SL1000;41910;10494
20220801;F120;43362;8679
20220801;R080;45474;8184
20220801;GP700;44385;11088
20220801;C470;47553;8547
20220801;RC3000p;41679;9174
20220801;C260;47190;8976
20220901;LL1100;46827;10296
20220901;LL1200;61677;15411
20220901;LV1620;61809;13596
20220901;SL1000;57816;12144
20220901;F120;54516;13629
20220901;R080;57288;10890
20220901;GP700;47685;10494
20220901;C470;49236;12309
20220901;RC3000p;55374;11088
20220901;C260;63921;14718
20221001;LL1100;36465;8382
20221001;LL1200;37917;7590
20221001;LV1620;34881;8712
20221001;SL1000;42900;8151
20221001;F120;31383;5643
20221001;R080;39171;8613
20221001;GP700;34155;7854
20221001;C470;31020;7128
20221001;RC3000p;30822;6765
20221001;C260;34716;8316
20221101;LL1100;38940;6996
20221101;LL1200;48015;11517
20221101;LV1620;33396;8019
20221101;SL1000;42867;10296
20221101;F120;34716;7293
20221101;R080;34782;6963
20221101;GP700;42009;9240
20221101;C470;48180;12045
20221101;RC3000p;43032;9900
20221101;C260;43461;9570
20221201;LL1100;39963;9603
20221201;LL1200;34650;7293
20221201;LV1620;47157;11319
20221201;SL1000;36300;8712
20221201;F120;36234;8349
20221201;R080;39006;9372
20221201;GP700;34980;7359
20221201;C470;39138;9009
20221201;RC3000p;34947;7689
20221201;C260;35343;6369
